Win32_USBHub.DeviceID="USB4\\ROOT_DEVICE_ROUTER&VID_8086&PID_A73E\\4&C2CE0C0&0&0";Win32_PnPEntity.DeviceID="USB4\\ROOT_DEVICE_ROUTER&VID_8086&PID_A73E\\4&C2CE0C0&0&0";
Win32_USBHub.DeviceID="USB\\VID_2109&PID_0822\\5&1CADBC2&0&2";Win32_PnPEntity.DeviceID="USB\\VID_2109&PID_0822\\5&1CADBC2&0&2";
Win32_USBHub.DeviceID="USB\\VID_0BDA&PID_5411\\6&2DAFE9B1&1&2";Win32_PnPEntity.DeviceID="USB\\VID_0BDA&PID_5411\\6&2DAFE9B1&1&2";
Win32_USBHub.DeviceID="USB\\VID_3434&PID_D030\\5&38487EDF&0&4";Win32_PnPEntity.DeviceID="USB\\VID_3434&PID_D030\\5&38487EDF&0&4";
Win32_USBHub.DeviceID="USB\\ROOT_HUB30\\4&3732AC1&0&0";Win32_PnPEntity.DeviceID="USB\\ROOT_HUB30\\4&3732AC1&0&0";
Win32_PointingDevice.DeviceID="HID\\{00001124-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280&COL05\\8&30E9460D&3&0004";Win32_PnPEntity.DeviceID="HID\\{00001124-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280&COL05\\8&30E9460D&3&0004";
Win32_DesktopMonitor.DeviceID="DesktopMonitor1";Win32_PnPEntity.DeviceID="DISPLAY\\LGD073B\\4&304B9A01&0&UID8388688";
Win32_SCSIController.DeviceID="PCI\\VEN_8086&DEV_A77F&SUBSYS_0C021028&REV_00\\3&11583659&1&70";Win32_PnPEntity.DeviceID="PCI\\VEN_8086&DEV_A77F&SUBSYS_0C021028&REV_00\\3&11583659&1&70";
Win32_PointingDevice.DeviceID="HID\\VEN_06CB&COL01\\5&1372C430&0&0000";Win32_PnPEntity.DeviceID="HID\\VEN_06CB&COL01\\5&1372C430&0&0000";
Win32_PointingDevice.DeviceID="USB\\VID_3434&PID_D030&MI_00\\6&842F6DF&5&0000";Win32_PnPEntity.DeviceID="USB\\VID_3434&PID_D030&MI_00\\6&842F6DF&5&0000";
Win32_SCSIController.DeviceID="ROOT\\SPACEPORT\\0000";Win32_PnPEntity.DeviceID="ROOT\\SPACEPORT\\0000";
Win32_SCSIController.DeviceID="PCI\\VEN_8086&DEV_09AB&SUBSYS_00000000&REV_00\\3&11583659&1&30";Win32_PnPEntity.DeviceID="PCI\\VEN_8086&DEV_09AB&SUBSYS_00000000&REV_00\\3&11583659&1&30";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_A73E&SUBSYS_0C021028&REV_00&USB4_MS_CM\\3&11583659&1&6A";Win32_PnPEntity.DeviceID="PCI\\VEN_8086&DEV_A73E&SUBSYS_0C021028&REV_00&USB4_MS_CM\\3&11583659&1&6A";
Win32_VideoController.DeviceID="VideoController1";Win32_PnPEntity.DeviceID="PCI\\VEN_8086&DEV_A7A0&SUBSYS_0C021028&REV_04\\3&11583659&1&10";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_A71E&SUBSYS_0C021028&REV_00\\3&11583659&1&68";Win32_PnPEntity.DeviceID="PCI\\VEN_8086&DEV_A71E&SUBSYS_0C021028&REV_00\\3&11583659&1&68";
Win32_VideoController.DeviceID="VideoController2";Win32_PnPEntity.DeviceID="PCI\\VEN_10DE&DEV_25BB&SUBSYS_0C021028&REV_A1\\4&2D88FC4B&0&0032";
Win32_Keyboard.DeviceID="HID\\{00001124-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280&COL01\\8&30E9460D&3&0000";Win32_PnPEntity.DeviceID="HID\\{00001124-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280&COL01\\8&30E9460D&3&0000";
Win32_Keyboard.DeviceID="ACPI\\DLLK0C02\\4&2437E101&0";Win32_PnPEntity.DeviceID="ACPI\\DLLK0C02\\4&2437E101&0";
Win32_Keyboard.DeviceID="HID\\CONVERTEDDEVICE&COL01\\5&105D477C&0&0000";Win32_PnPEntity.DeviceID="HID\\CONVERTEDDEVICE&COL01\\5&105D477C&0&0000";
Win32_Keyboard.DeviceID="HID\\VID_3434&PID_D030&MI_02&COL04\\7&43B13F9&0&0003";Win32_PnPEntity.DeviceID="HID\\VID_3434&PID_D030&MI_02&COL04\\7&43B13F9&0&0003";
Win32_Keyboard.DeviceID="HID\\{00001124-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280&COL02\\8&30E9460D&3&0001";Win32_PnPEntity.DeviceID="HID\\{00001124-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280&COL02\\8&30E9460D&3&0001";
Win32_Keyboard.DeviceID="HID\\VID_3434&PID_D030&MI_02&COL01\\7&43B13F9&0&0000";Win32_PnPEntity.DeviceID="HID\\VID_3434&PID_D030&MI_02&COL01\\7&43B13F9&0&0000";
Win32_SerialPort.DeviceID="COM3";Win32_PnPEntity.DeviceID="PCI\\VEN_8086&DEV_51E3&SUBSYS_0C021028&REV_01\\3&11583659&1&B3";
Win32_NetworkAdapter.DeviceID="0";Win32_PnPEntity.DeviceID="SWD\\MSRRAS\\MS_SSTPMINIPORT";
Win32_NetworkAdapter.DeviceID="1";Win32_PnPEntity.DeviceID="ROOT\\KDNIC\\0000";
Win32_NetworkAdapter.DeviceID="2";Win32_PnPEntity.DeviceID="PCI\\VEN_8086&DEV_51F1&SUBSYS_40908086&REV_01\\3&11583659&1&A3";
Win32_NetworkAdapter.DeviceID="3";Win32_PnPEntity.DeviceID="PCI\\VEN_8086&DEV_0DC5&SUBSYS_0C021028&REV_01\\3&11583659&1&FE";
Win32_NetworkAdapter.DeviceID="4";Win32_PnPEntity.DeviceID="{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\\VWIFIMP_WFD\\4&600F5AD&0&11";
Win32_NetworkAdapter.DeviceID="5";Win32_PnPEntity.DeviceID="BTH\\MS_BTHPAN\\6&17CF7CDC&0&2";
Win32_NetworkAdapter.DeviceID="6";Win32_PnPEntity.DeviceID="{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\\VWIFIMP_WFD\\4&600F5AD&0&12";
Win32_NetworkAdapter.DeviceID="7";Win32_PnPEntity.DeviceID="USB\\VID_0B95&PID_1790\\00AF80FB";
Win32_NetworkAdapter.DeviceID="8";Win32_PnPEntity.DeviceID="SWD\\MSRRAS\\MS_AGILEVPNMINIPORT";
Win32_NetworkAdapter.DeviceID="9";Win32_PnPEntity.DeviceID="SWD\\MSRRAS\\MS_L2TPMINIPORT";
Win32_NetworkAdapter.DeviceID="10";Win32_PnPEntity.DeviceID="SWD\\MSRRAS\\MS_PPTPMINIPORT";
Win32_NetworkAdapter.DeviceID="11";Win32_PnPEntity.DeviceID="SWD\\MSRRAS\\MS_PPPOEMINIPORT";
Win32_NetworkAdapter.DeviceID="12";Win32_PnPEntity.DeviceID="SWD\\MSRRAS\\MS_NDISWANIP";
Win32_NetworkAdapter.DeviceID="13";Win32_PnPEntity.DeviceID="SWD\\MSRRAS\\MS_NDISWANIPV6";
Win32_NetworkAdapter.DeviceID="14";Win32_PnPEntity.DeviceID="SWD\\MSRRAS\\MS_NDISWANBH";
Win32_NetworkAdapter.DeviceID="15";Win32_PnPEntity.DeviceID="SWD\\WIREGUARD\\{22EB5751-9277-AB80-7142-A56CA6B7BE01}";
